AC#,Artist,Title,Date,Medium,Dimensions,Category,,,,,
693132,"BERTHON, George Theodore","Hon. Donald Alexander Macdonald [Lieutenant Governor of Ontario, 1875-1880]",c. 1887,oil on canvas,"109.2 x 81.3 cm / 43"" x 32""",portrait,,,,,
693131,"BERTHON, George Theodore","Hon. John Willoughby Crawford, QC [Lieutenant Governor of Ontario, 1873-75]",c. 1887,oil on canvas,"111.8 x 81.3 cm / 44"" x 32""",portrait,,,,,
693124,"BERTHON, George Theodore","Hon. Peter Russell [President and Admin of Upper Canada, 1796-99]",c. 1882,oil on canvas,"sight: 110.1 x 84.6 cm / 43 3/8"" x 33 5/16""; frame: 141.5 x 116.4 cm / 55 3/4"" x 45 7/8""",portrait,,,,,
692930,"BERTHON, George Theodore","Hon. Sir Richard William Scott, Kt., PC, KC, LL D [Speaker of the Ontario Legislature, 1871]",n.d.,oil on canvas,"61 x 49.5 cm / 24"" x 19 1/2"" (oval); frame: 87 x 76 cm / 34 1/4"" x 30""",portrait,,,,,
619845,"BERTHON, George Theodore","Hon. William Pearce Howland, KCMG, CB [Lieutenant Governor of Ontario, 1868-73]",1885,oil on canvas,"109.2 x 81.3 cm / 43"" x 32""",portrait,,,,,
693140,"BERTHON, George Theodore","James Bruce Elgin, KT, GCB, eighth Earl of Elgin [Governor General of Canada, 1847-54]",c. 1884,oil on canvas,"sight: 106 x 81 cm / 41 3/4"" x 32""; frame: 140 x 114.5 cm / 55"" x 45""",portrait,,,,,
619844,"BERTHON, George Theodore","Lieutenant-Colonel Samuel Smith [Administrator of Upper Canada, 1817-18; 1820]",c. 1886,oil on canvas,"sight: 109.4 x 81.7 cm / 43 1/8"" x 32 3/16""; frame: 140 x 112.5 cm / 55 1/8"" x 44 5/16""",portrait,,,,,
693129,"BERTHON, George Theodore","Lieutenant-General Sir George Murray, GCB [Provisional Lieutenant Governor of Upper Canada, 1815]",c. 1885,oil on canvas,"sight: 109.4 x 81.6 cm / 43"" x 32""; frame: 140.7 x 112.2 cm / 55 1/2"" x 44 1/4""",portrait,,,,,
693128,"BERTHON, George Theodore","Major-General Sir Frederick Philipse Robinson, KCB [Provisional Lieutenant Governor, Upper Canada, 1815]",c. 1884,oil on canvas,"sight: 109.4 x 81.6 cm / 43"" x 32""; frame: 140.7 x 112.2 cm / 55 1/2"" x 44 1/4""",portrait,,,,,
694158,"BERTHON, George Theodore","Major-General Sir Isaac Brock, KB [President and Administrator of Upper Canada, 1811-12]",c. 1883,oil on canvas,"sight: 109.5 x 84 cm / 43"" x 33""; frame: 141 x 116 cm / 55 1/2"" x 45 3/4""",portrait,,,,,
619851,"BERTHON, George Theodore","Major-General Sir John Colborne, GCB, GCMG (Baron Seaton) [Lieutenant Governor of Upper Canada, 1828-36]",c. 1884,oil on canvas,"sight: 109.3 x 81.5 cm / 43"" x 32""; frame: 140.3 x 112.5 cm / 55 1/4"" x 44 1/4""",portrait,,,,,
693142,"BERTHON, George Theodore","Major-General The Hon. Sir Henry William Stisted, KCB [Lieutenant Governor of Ontario, 1867-68]",c. 1887,oil on canvas,"109.2 x 82.6 cm / 43"" x 32 1/2""",portrait,,,,,
693138,"BERTHON, George Theodore","Rt. Hon. Charles Edward Poulett Thomson, Baron Sydenham of Kent and Toronto [Governor General of Canada, 1839-41]",c. 1885,oil on canvas,"sight: 109.4 x 81.7 cm / 43"" x 32 1/4""; frame: 140 x 112.5 cm / 55"" x 44 1/4""",portrait,,,,,
693139,"BERTHON, George Theodore","Sir Charles Theophilus Metcalfe, first Baron Metcalfe [Governor General of Canada, 1843-45]",c. 1885,oil on canvas,"sight: 109.5 x 81 cm / 43"" x 32""; frame: 140 x 112 cm / 55"" x 44""",portrait,,,,,
693141,"BERTHON, George Theodore","Sir Edmund Walker Head, Bart., PC, KCB [Governor General of Canada, 1854-61]",c. 1884,oil on canvas,"sight: 109.3 x 81.3 cm / 43"" x 32""; frame: 140 x 112 cm / 55"" x 44""",portrait,,,,,
606899,"BERTHON, George Theodore","Sir Francis Bond Head, Bart., KCH [Lieutenant Governor of Upper Canada, 1836-38]",c. 1883,oil on canvas,"sight: 109.3 x 81.5 cm / 43"" x 32 1/8""; frame: 140.3 x 112.5 cm / 55 1/4"" x 44 5/16""",portrait,,,,,
622102,"BERTHON, George Theodore","Sir John Beverley Robinson, Bart., CB [Attorney General, UC, 1818-29; Chief Justice, UC, 1829-62]",n.d.,oil on canvas,"73 x 60.3 cm / 28 3/4"" x 23 1/4""",portrait,,,,,
693136,"BERTHON, George Theodore","Sir Peregrine Maitland, KCB [Lieutenant Governor of Upper Canada, 1818-28]",c. 1882-1883,oil on canvas,"sight: 109.4 x 81.7 cm / 43"" x 32 1/4""; frame: 140 x 112.5 cm / 55"" x 44 1/4""",portrait,,,,,
624438,"BICE, Clare","London, Ontario",c. 1952,oil on board,"60.3 x 80.6 cm / 23 1/4"" x 31 3/4""",painting,,,,,
619957,"BIELER, Andre Charles",Apollo  12/14,n.d.,print,"sight: 68.6 x 52.1 cm / 27"" x 20 1/2""; image: 65.4 x 49.5 cm / 25 3/4"" x 19 1/2""",work on paper,,,,,
619958,"BIELER, Andre Charles",Untitled [Byzantine Ivories]  13/16,n.d.,print,"sight: 68.6 x 52.7 cm / 27"" x 20 1/2""; image: 64.8 x 49.5 cm / 25 1/2"" x 19 1/2""",work on paper,,,,,
637046,"BIELER, Theodore (Ted)",Bridge and Boat,n.d.,wood,"a) 243.8 x 365.8 x 20.3 cm / 96"" x 144"" x 8""; b) 45.7 x 182.9 x 22.9 cm / 18"" x 72"" x 9""; c) 48.3 x 182.9 x 22.9 cm / 19"" x 72"" x 9""",sculpture,,,,,
619699,"BIELER, Theodore (Ted)",Mudra,1975,stainless steel,"614.7 x 393.7 x 299.7 cm / 242"" x 155"" x 118""",sculpture,,,,,
633134,"BIERK, David Charles","Canadian Rock Series [maquette, 3 parts]",1983,photograph,"61 x 45.7 cm / 24"" x 18"" each",photograph,,,,,
633757,"BIERK, David Charles",Niagara Falls [maquette],1983,acrylic on board,"68.6 x 111.1 x 5.1 cm / 27"" x 43 3/4"" x 2""",painting,,,,,
637047,"BIERK, David Charles",Untitled,c. 1983,oil on canvasboard,"224.8 x 439.4 cm / 88 1/2"" x 173""",painting,,,,,
637424,"BIERK, David Charles",Untitled [maquette],n.d.,mixed media,"[1] 31 x 55 cm / 12 3/16"" x 21 5/8""; [2] 33 x 57 cm / 13"" x 22 7/16""",mixed media,,,,,
632602,"BINGHAM, Jane",Alexandra Park,1982,mixed media,"151.1 x 237.5 cm / 59 1/2"" x 93 1/2""",mixed media,,,,,
619880,"BIRCH, Charles Bell","Hon. George Brown [Leader, Coalition Government of 1864-65]",1884,bronze,"statue: 327.7 x 147.3 x 96.5 cm / 129"" x 58"" x 38""; base: 335.3 cm (ht.) x 250.2 cm (circ.) / 132"" (ht.) x 98 1/2"" (circ.)",monument,,,,,
632603,"BIRKENHEIER, Diana",Boboli Gardens - Florence  2/20,1981,serigraph,"sight: 30.5 x 71.1 cm / 12"" x 28""; image: 25.7 x 67.9 cm / 10 1/8"" x 26 3/4""",work on paper,,,,,
632604,"BIRKENHEIER, Diana",Mrs. Spillane's Cottage - Tralee Bay  3/25,1980,serigraph,"50.8 x 59.7 cm / 20"" x 23 1/2""",work on paper,,,,,
661796,"BIRKS & CO.,","Candelabra [Canadian, silver-gilt seven light]",c. 1900,silver,"96.5 cm / 38"" high",furnishings,,,,,
661662,"BISHOP, Dianne",Abandoned,n.d.,watercolour on paper,"sight: 55 x 75 cm / 21 5/8"" x 30""; frame: 75 x 95 cm / 30"" x 37 3/8""",work on paper,,,,,
101058,"BISHOP, Lynn","Sainte-Marie among the Hurons 2012, no. 6",2012,mixed media,"25.4 x 76.2 cm / 10"" x 30""",mixed media,,,,,
632666,"BLACKWOOD, David Lloyd",Captain Alb and Aunt Nance  21/50,1982,etching,"sight: 83.8 x 53.3 cm / 33"" x 21""; image: 80.6 x 50.8 cm / 31 3/4"" x 20""",work on paper,,,,,
632665,"BLACKWOOD, David Lloyd","Captain Job Barbour Dreams  A/P 6/10, ed. 50",1979,etching,"sight: 53.3 x 43.2 cm / 21"" x 17""; image: 50.2 x 40 cm / 19 3/4"" x 15 3/4""; frame: 75 x 63.5 cm / 29 1/2"" x 25""",work on paper,,,,,
632606,"BLACKWOOD, David Lloyd",Man Warning Two Boys  20/50,1982,etching,"sight: 54 x 83.8 cm / 21 1/4"" x 33""; image: 50.2 x 80.6 cm / 19 3/4"" x 31 3/4""",work on paper,,,,,
632607,"BLACKWOOD, David Lloyd",March North Atlantic  A/P,1971,etching,"sight: 52.1 x 54 cm / 20 1/2"" x 21 1/4""; image: 47.6 x 50.8 cm / 18 3/4"" x 20""",work on paper,,,,,
632664,"BLACKWOOD, David Lloyd",Night Passage  43/50,1982,etching,"sight: 54 x 83.8 cm / 21 1/4"" x 33""; image: 50.8 x 80.6 cm / 20"" x 31 3/4""",work on paper,,,,,
632605,"BLACKWOOD, David Lloyd",The Family  21/50,1982,etching,"sight: 83.8 x 53.3 cm / 33"" x 21""; image: 80.6 x 50.5 cm / 31 3/4"" x 19 7/8""",work on paper,,,,,
632667,"BLACKWOOD, David Lloyd","The Red Gate, Templeman B. Bay, Nfld.  50/50",1982,etching,"sight: 38.7 x 88.9 cm / 15 1/4"" x 35""; image: 35.3 x 86 cm / 13 7/8"" x 33 7/8""",work on paper,,,,,
632608,"BLACKWOOD, David Lloyd",Three Mummers on Windsor's Point  25/50,1979,etching,"sight: 53.3 x 83.8 cm / 21"" x 33""; image: 50.2 x 80.6 cm / 19 3/4"" x 31 3/4""; frame: 75 x 104.5 cm / 29 1/2"" x 41 1/8""",work on paper,,,,,
632674,"BLACKWOOD, David Lloyd",Wesleyville: Seabird Hunters Crossing the Reach  38/50,1981,etching,"sight: 54 x 83.8 cm / 21 1/4"" x 33""; image: 50.2 x 80.6 cm / 19 3/4"" x 31 3/4""",work on paper,,,,,
619829,"BLACKWOOD, William Gardner",River in Spring,n.d.,watercolour on paper,"31.8 x 24.1 cm / 12 1/2"" x 9 1/2""",work on paper,,,,,
632663,"BLACKWOOD, William Gardner",Untitled [landscape],n.d.,watercolour on paper,"24.1 x 31.8 cm / 9 1/2"" x 12 1/2""; frame: 43.2 x 49.5 cm / 17"" x 19 1/2""",work on paper,,,,,
100344,"BLAKEY, Lillian Michiko",Morning Prayer,2004,acrylic on board,"45.7 x 61 cm / 18"" x 24""; frame: 48.3 x 63.5 cm / 19"" x 25""",painting,,,,,
100409,"BLAKEY, Lillian Michiko","On O.S.A. Lake, Killarney Provincial Park",2007,acrylic on canvas,"91.1 x 121.6 cm / 35 7/8"" x 47 7/8""; frame: 94 x 124.2 cm / 37"" x 48 7/8""",painting,,,,,
101001,"BLAKEY, Lillian Michiko","Once Upon a Time, Dufferin Rink, 1960",2009,acrylic on canvas,"70 x 76.2 cm / 24"" x 30""",painting,,,,,
101000,"BLAKEY, Lillian Michiko",Orange Tractor,2009,acrylic on board,"70 x 76.2 cm / 24"" x 30""",painting,,,,,
101059,"BLAKEY, Lillian Michiko","Slideshow: Our Class Trip to Ottawa, 1961",2012,mixed media,"triptych; each panel: 50.8 x 61 cm / 24"" x 24""; frame: 65.41 x 157.48 cm / 25 3/4"" x 62""",mixed media,,,,,
622112,"BLATCHLY, William Daniel",A Quiet Pool,1898,watercolour on paper,"64.1 x 45.7 cm / 25 1/4"" x 18""",work on paper,,,,,
692607,"BLATCHLY, William Daniel",In the Woods,1898,watercolour on paper,"63.5 x 45.7 cm / 25"" x 18""",work on paper,,,,,
692603,"BLATCHLY, William Daniel",Path to the Mill Race,1899,watercolour on paper,"51.4 x 67.3 cm / 20 1/4"" x 26 1/2""",work on paper,,,,,
692604,"BLATCHLY, William Daniel",Untitled [stream with cow drinking],1897,watercolour on paper,"66 x 52.1 cm / 26"" x 20 1/2""",work on paper,,,,,
663555,"BLOHM, David","The Goshawk ""Anticipation""",1992,serigraph,"66 x 60 cm / 26"" x 23 5/8""",work on paper,,,,,
100072,"BOHDANEC, Marlene",Northern College Trail,1992,oil on canvas,"50.8 x 61 cm / 20"" x 24""; frame: 64.5 x 74.5 cm / 25 3/8"" x 29 5/16""",painting,,,,,
657387-01,"BOIGON, Brian","Speed Reading Tokyo (A-F) [Portfolio, 1 of 6 prints]",1990,photoengraving,"42 x 59 cm / 16 1/2"" x 23 1/4"" each",work on paper,,,,,
657387-02,"BOIGON, Brian","Speed Reading Tokyo (A-F) [Portfolio, 2 of 6 prints]",1990,photoengraving,"42 x 59 cm / 16 1/2"" x 23 1/4"" each",work on paper,,,,,
657387-03,"BOIGON, Brian","Speed Reading Tokyo (A-F) [Portfolio, 3 of 6 prints]",1990,photoengraving,"42 x 59 cm / 16 1/2"" x 23 1/4"" each",work on paper,,,,,
657387-04,"BOIGON, Brian","Speed Reading Tokyo (A-F) [Portfolio, 4 of 6 prints]",1990,photoengraving,"42 x 59 cm / 16 1/2"" x 23 1/4"" each",work on paper,,,,,
657387-05,"BOIGON, Brian","Speed Reading Tokyo (A-F) [Portfolio, 5 of 6 prints]",1990,photoengraving,"42 x 59 cm / 16 1/2"" x 23 1/4"" each",work on paper,,,,,
657387-06,"BOIGON, Brian","Speed Reading Tokyo (A-F) [Portfolio, 6 of 6 prints]",1990,photoengraving,"42 x 59 cm / 16 1/2"" x 23 1/4"" each",work on paper,,,,,
623001,"BOLES, Daniel","Judge Bruce J.S. Macdonald, OBE, ED, QC [Judge, County & District Courts of Ontario, 1961-77]",1976,bronze,"49.5 x 33 x 22.2 cm / 19 1/2"" x 13"" x 8 3/4""",bust,,,,,
630159,"BOLLIGER, Therese",Landscape Screen XIII,1979,watercolour on paper,"52.1 x 69.9 cm / 20 1/2"" x 27 1/2""; frame: 67.5 x 90 cm / 26 9/16"" x 35 7/16""",work on paper,,,,,
630169,"BOLLIGER, Therese",Landscape Screen XXI,1979,watercolour on paper,"50.8 x 70.5 cm / 20"" x 27 3/4""; frame: 67.5 x 90 cm / 26 9/16"" x 35 7/16""",work on paper,,,,,
630160,"BOLLIGER, Therese",Landscape Screen XXVI,1979,watercolour on paper,"47.6 x 71.1 cm / 18 3/4"" x 28""; frame: 67.5 x 90 cm / 26 9/16"" x 35 7/16""",work on paper,,,,,
630158,"BOLLIGER, Therese",Landscape Screen XXX,1979,watercolour on paper,"50.8 x 69.9 cm / 20"" x 27 1/2""; frame: 67.5 x 90 cm / 26 1/2"" x 35 7/16""",work on paper,,,,,
624994,"BOLT, Ronald (Ron)",Elm Tree Variations,1980,acrylic on board,"a) 37 cm / 15 9/16""; b) 75 cm / 30""; c) 121 cm / 47 5/8""; d) 222.5 cm / 87 5/8""; e) 181.5 cm / 71 1/2""; f) 98 cm / 38 9/16"" wide",painting,,,,,
623339-01,"BOLT, Ronald (Ron)","Elm Tree Variations [maquette, part 1 of 3]",c. 1979,watercolour on paper,"22.2 x 70.5 x 10.2 cm / 8 3/4"" x 27 3/4"" x 4""",work on paper,,,,,
623339-02,"BOLT, Ronald (Ron)","Elm Tree Variations [maquette, part 2 of 3]",c. 1979,photograph,"13.7 x 64.5 cm / 5 3/8"" x 25 3/8""",photograph,,,,,
623339-03,"BOLT, Ronald (Ron)","Elm Tree Variations [maquette, part 3 of 3]",c. 1979,graphite on paper,"80.6 x 80.6 cm / 31 3/4"" x 31 3/4""",work on paper,,,,,
632655,"BOLT, Ronald (Ron)",Glacial Shore  BAT,1981,serigraph,"sight: 62.2 x 64.1 cm / 24 1/2"" x 25 1/4""; image: 58.1 x 60 cm / 22 7/8"" x 23 5/8""",work on paper,,,,,
633758,"BOLT, Ronald (Ron)",Ontario Fragments [maquette],1983,photograph,"59.7 x 71.1 cm / 23 1/2"" x 28"" overall",photograph,,,,,
658668,"BOLT, Ronald (Ron)",Precambrian Variations,n.d.,oil on board,"305 x 914 x 16 cm / 120 1/8"" x 360"" x 6 5/16"" overall",painting,,,,,
658664,"BOLT, Ronald (Ron)",Precambrian Variations [maquette],n.d.,acrylic on board,"43 x 122 cm / 17"" x 48""",painting,,,,,
619776,"BONET, Jordi",Untitled (The End of Time/La fin des temps),1966-1968,fired clay,"657.7 x 934.7 cm / 259"" x 368""",sculpture,,,,,
616946,"BONHAM, Don",Hermen Goode Aesthetics Racing Team,1974,mixed media,"191.8 x 372.1 cm / 75 1/2"" x 146 1/2""",mixed media,,,,,
633759,"BORG, John",Toward the White Light [maquette],1983,mixed media,"sight: 61 x 47 cm / 24"" x 18 1/2""; image: 59.1 x 20.3 cm / 23 1/4"" x 8""",mixed media,,,,,
101060,"BORGERS, Kelly",Boreal Trees,2011,digital print,"50.8 x 66 cm / 20"" x 26""",photograph,,,,,
658512-01,"BORNN, Douglas","""Little Italy"" Copper Cliff, Ont. [2 photographs, group 1 of 2]",1989,print,"2 photographs: 12.7 x 18.9 cm / 5"" x 7.4"" each; frame: 36 x 28.5 cm / 14"" x 11 3/4""",work on paper,,,,,
658512-02,"BORNN, Douglas","""Little Italy"" Copper Cliff, Ont. [2 photographs, group 2 of 2]",1989,print,"2 photographs: 12.7 x 18.9 cm / 5"" x 7 1/2"" each; frame: 28.5 x 36.1 cm / 11 1/4"" x 14 1/4""",work on paper,,,,,
658513,"BORNN, Douglas","Elgin, Minto and Van Horne Streets",1988,print,"30.5 x 87.3 cm / 12"" x 34 3/8"" (irregular shape)",work on paper,,,,,
658511-02,"BORNN, Douglas","Untitled [leaves], [2 photographs, group 2 of 2]",n.d.,print,"2 photographs: 22.9 x 34.5 cm / 9"" x 13 1/2"" each",work on paper,,,,,
658511-01,"BORNN, Douglas","Untitled [plants], [5 photographs, group 1 of 2]",n.d.,print,"5 photographs: 22.9 x 34.5 cm / 9"" x 13 1/2"" each; frame: 36.2 x 43.8 cm / 14 1/4"" x 17 1/4""",work on paper,,,,,
658516,"BOSCHULTE, Jill",Grey Day,1987,mixed media,"40.7 x 55.9 cm / 16"" x 22""",mixed media,,,,,
661730,"BOSCHULTE, Jill","Over the Changing Seasons [polyptych, 8 parts]",1992,mixed media,"169 x 470 cm / 66 1/2"" x 185"" overall, as installed (see master for details)",mixed media,,,,,
100113,"BOSCHULTE, Jill",Powassan #11,1988,oil on card,"63.5 x 99 cm / 25"" x 39""",painting,,,,,
661666,"BOSCHULTE, Jill",Powassan #9 [diptych],1988,print,"sight: 53 x 73 cm / 20 7/8"" x 28 3/4"" each; frame: 78 x 88 cm / 30 3/4"" x 34 5/8"" each",work on paper,,,,,
658514,"BOSCHULTE, Jill",Powassan 3,1988,mixed media,"61 x 95.3 cm / 24"" x 37 1/2""",mixed media,,,,,
658515,"BOSCHULTE, Jill",Powassan 4,1988,mixed media,"61 x 95.3 cm / 24"" x 37 1/2""",mixed media,,,,,
658517,"BOSCHULTE, Jill",Powassan 7,1988,print,"38.7 x 52 cm / 15 1/4"" x 20 1/2""",work on paper,,,,,
658521,"BOURGEAU, Janet",Driving North,1990,mixed media,"27.7 x 37.8 cm / 11"" x 15""; frame 46.3 x 56.5 cm / 18 1/4"" x 22 1/4""",mixed media,,,,,
658520,"BOURGEAU, Janet","Earth Rise, Moon Rise",1991,mixed media,"44.2 x 28.9 cm / 17 3/8"" x 11 3/7""",mixed media,,,,,
100114,"BOURGEAU, Janet",Four Mile Bay [triptych],1990,mixed media,"left and right panels: 51 x 61 cm / 20 1/8"" x 24""; centre panel: 51 x 84 cm / 20"" x 33 1/8""",mixed media,,,,,
658522,"BOURGEAU, Janet",Moon Eclipse - 2,1990,mixed media,"44.5 x 59.7 cm / 17 1/2"" x 23 1/2""",mixed media,,,,,
658519,"BOURGEAU, Janet",Nipissing Borealis,1990,mixed media,"42.9 x 83.5 cm / 16 7/8"" x 32 7/8""",mixed media,,,,,
658523,"BOURGEAU, Janet",Northern Landscape - Ochne,1990,mixed media,"49.5 x 60 cm / 19 1/2"" x 23 5/8""",mixed media,,,,,
100115,"BOURGEAU, Janet",Red Birches #1,1989,mixed media,"23 x 30.5 cm / 9 1/16"" x 12""",mixed media,,,,,
625791,"BOURGEAU, Janet",Rock Study,1979,acrylic on paper,"43.2 x 57.8 cm / 17"" x 22 3/4""; frame: 66 x 81.5 cm / 26"" x 32 1/8""",work on paper,,,,,
100067,"BOURGEAU, Janet",Stellar Space,1991,mixed media,"sight: 57.5 x 78 cm / 22 5/8"" x 30 3/4""; frame: 77 x 97 cm / 30 5/16"" x 38 3/16""",mixed media,,,,,
100076,"BOURGEAU, Janet",Sunlight on Boulder,1992,watercolour on paper,"sight: 45.5 x 60 cm / 18"" x 23 5/8""; frame: 68 x 83.5 cm / 26 3/8"" x 32 3/8""",work on paper,,,,,
100017,"BOURGEOIS, Lorene","Untitled [maquette, 3 parts]",n.d.,mixed media,"73 x 62 cm / 28 3/4"" x 24 3/8"" each",mixed media,,,,,
100129,"BOURGEOIS-CLARIDA, Jeannette",Hot Rocks,1991,watercolour on paper,"56 x 76.5 cm / 22"" x 30 1/8""",work on paper,,,,,
658524,"BOURGEOIS-CLARIDA, Jeannette",Superior View,n.d.,watercolour on paper,"26.4 x 36.5 cm / 10 3/8"" x 14 3/8""",work on paper,,,,,
637420,"BOWERS, Robert",Untitled [maquette],c. 1984,wood,"64 x 97 x 55 cm / 25 3/16"" x 38 3/16"" x 21 5/8""",sculpture,,,,,
100018,"BOYD, Brent A.",Untitled [maquette],n.d.,mixed media,"150 x 112 cm / 59 1/16"" x 44 1/8""",mixed media,,,,,
100438,"BOYD, Wendy",Winter Meditation,1992,graphite on paper,"63.5 x 43.2 cm / 25"" x 17""; frame: 83.2 x 57.2 cm / 32 3/4"" x 22 1/2""",work on paper,,,,,
633760,"BOYLE, John","Untitled [maquette, 2 parts]",1983,mixed media,"[1] 21.6 x 55.9 cm / 8 1/2"" x 22""; [2] 20.3 x 25.4 cm / 8"" x 10""",mixed media,,,,,
633129,"BOYLE, John",Untitled [maquette],1983,watercolour on paper,"61 x 61 cm / 24"" x 24""",work on paper,,,,,
661629,"BRADFORD, Ken",High Bluff,n.d.,watercolour on paper,"55 x 70.5 cm / 21 5/8"" x 27 3/4""",work on paper,,,,,
661632,"BRATHWAITE, Stephen",In the Balance,n.d.,mixed media,"life size figures, rope, ladders",mixed media,,,,,
661631,"BRATHWAITE, Stephen",In the Balance [maquette],1991,mixed media,"26.7 x 61 x 44.5 cm / 10 1/2"" x 24"" x 17 1/2""",mixed media,,,,,
625792,"BRAUER, Michael","""Passing Time,"" Algoma",n.d.,photograph,"38.1 x 48.3 cm / 15"" x 19""",photograph,,,,,
616943,"BREEZE, Claude Herbert",Canadian Atlas: Position of London,1974,acrylic on canvas,"170.2 x 260.4 cm / 67"" x 102 1/2""; frame: 173 x 264 cm / 68 1/8"" x 104""",painting,,,,,
619926,"BREEZE, Claude Herbert",Coast Channel No. 1  31/50,1976,serigraph,"sight: 63.5 x 45.7 cm / 25"" x 18""; image: 59.7 x 42.5 cm / 23 1/2"" x 16 3/4""",work on paper,,,,,
619927,"BREEZE, Claude Herbert",Coast Channel No. 2  5/50,1976,serigraph,"sight: 63.2 x 45.4 cm / 24 7/8"" x 17 13/16""; image: 59.7 x 42.5 cm / 23 1/2"" x 16 3/4""",work on paper,,,,,
618686,"BREEZE, Claude Herbert",Eighth Journey No. 1,1976,mixed media,"each panel: 167.6 x 83.8 cm / 66"" x 33""; overall: 167.6 x 167.6 cm / 66"" x 66""; frame: 175 x 173 cm / 68 7/8"" x 68 1/8""",mixed media,,,,,
646226,"BRENDER A BRANDIS, Gerard",Purple Trillium,n.d.,wood engraving,"sight: 12.5 x 9.5 cm / 5"" x 3 3/4""; frame: 28.5 x 23.5 cm / 11 1/4"" x 9 1/4""",work on paper,,,,,
101061,"BRENNAN, Carmel",Meditation,2009,photograph,"76.2 x 101.6 cm / 30"" x 40""",photograph,,,,,
100442,"BRENNAN, Carmel",Night Sky (Awe) & Night Sky (Wonder),2007,photograph,"66 x 91.4 cm / 26"" x 36""",photograph,,,,,
100441,"BRENNAN, Carmel",Renewal - The Rite of Spring,2006,photograph,"40.6 x 50.8 cm / 16"" x 20""",photograph,,,,,
101283,"BREWSTER, Sandra",From Life,2015,mixed media,"172.7 x 121.9 cm / 68"" x 48""",mixed media,,,,,
101284,"BREWSTER, Sandra",Little Girl Dancing 2,2014,charcoal on paper,"72 x 52 cm / 28 1/2"" x 21 1/2""",work on paper,,,,,
100358,"BRIAND, Peter",Scenario,c. 1993,acrylic on canvas,"183 x 91.5 cm / 72"" x 36""; frame: 186.6 x 125.7 cm; 73 1/2"" x 49 1/2""",painting,,,,,
100452,"BRIEGHEL, Muller",Sunset at Sea / ?Scheudende Senne?,n.d.,lithograph,"60 x 85 cm / 23 5/8"" x 33 1/2""; frame: 102 x 127 cm; 40"" x 50""",work on paper,,,,,
609960,"BRIGDEN, Frederick Henry",An Upland Pasture,c. 1903,watercolour on paper,"52.7 x 71.1 cm / 20 3/4"" x 28""",work on paper,,,,,
619847,"BRIGDEN, Frederick Henry",Newtonbrook Pastures,n.d.,oil on canvas,"59.7 x 74.9 cm / 23 1/2"" x 29 1/2""",painting,,,,,
619848,"BRIGDEN, Frederick Henry",Sunset Glow,c. 1904,watercolour on board,"49.5 x 72.4 cm / 19 1/2"" x 28 1/2""",painting,,,,,
630950,"BROADHURST, Christopher",Untitled [maquette],c. 1982,oil on board,"36.8 x 110.5 cm / 14 1/2"" x 43 1/2""",painting,,,,,
658525,"BROCHU, Leola","Croatian Roman Catholic Church, Sudbury",n.d.,watercolour on paper,"36.8 x 53.7 cm / 14 1/2"" x 21""; frame: 54 x 70 cm / 21 1/4"" x 27 1/2""",work on paper,,,,,
661691,"BROWN, Barbara","Concentricity [maquette, 3 parts]",n.d.,mixed media,"[1] 76 x 64.5 x 57 cm / 30"" x 25 3/8"" x 22 7/16""; [2] 76.3 x 61 cm / 30"" x 24""; [3] 100 x 2.5 cm / 39 3/8"" x 1"" dia.",mixed media,,,,,
661634,"BROWN, Barbara",Northern Passage,1992,painted aluminum,"150 x 450 cm / 59"" x 177 1/8"" each unit; 17 units/4 pieces each",sculpture,,,,,
661633,"BROWN, Barbara",Northern Passage [maquette],1991,mixed media,"crate: 17.8 x 132 x 47 cm / 7"" x 52"" x 18 1/2""",mixed media,,,,,
661690,"BROWN, Barbara","Recording Time [maquette, 2 parts]",n.d.,mixed media,"[1] 27 x 60 x 37.5 cm / 10 5/8"" x 23 5/8"" x 14 3/4""; [2] 76.5 x 50.8 cm / 30 1/8"" x 20""",mixed media,,,,,
622098,"BROWNELL, Peleg Franklin",Fishing Boats - Perc?1912,oil on canvas,"38.6 x 53.2 cm / 15 3/16"" x 21""; frame: 59.5 x 74.5 cm / 23 7/16"" x 29 5/16""",painting,,,,,,
623329,"BROWNELL, Peleg Franklin",Perce Rock,n.d.,oil on canvas,"50.2 x 52.1 cm / 19 3/4"" x 20 1/2""; 71.3 x 74 cm / 28 1/8"" x 29 1/8""",painting,,,,,
622084,"BRYMNER, William",Bonsecours Church and Market,n.d.,w/c on cardboard,"50.8 x 35.6 cm / 20"" x 14""",painting,,,,,
619850,"BRYMNER, William",Ottertail Range,1894,oil on canvas,"137.2 x 243.8 cm / 54"" x 96""",painting,,,,,
101062,"BUCHANAN, Zora",Harbour Front,2010,acrylic on paper,"55.8 x 76.2 cm / 22"" x 30""",work on paper,,,,,
619968-01,"BUCKLES, Jane","Untitled [maquette, 1 of 3 parts]",n.d.,mixed media,"52 x 61 cm / 20 1/2"" x 24""",mixed media,,,,,
658526,"BURDEN, Marsha",Daisies,1990,watercolour on paper,"18.4 x 26.7 cm / 7 1/4"" x 10 1/2""; frame: 36.1 x 43.9 cm / 14 1/4"" x 17 1/4""",work on paper,,,,,
